City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Atambua,ID,-9.1061,124.8925,76.68,63,31,2.57,scattered clouds
259,Saint George,US,37.1041,-113.5841,91.87,22,1,5.99,clear sky
260,Denizli,TR,37.8402,29.0698,63.45,38,16,3.0,few clouds
261,Grand-Santi,GF,4.25,-54.3833,78.1,68,74,1.81,broken clouds
262,Barra Do Garcas,BR,-15.89,-52.2567,74.7,69,52,3.4,broken clouds
263,Nassau,US,40.7507,-73.5829,72.68,48,1,3.0,clear sky
264,Buraydah,SA,26.326,43.975,81.05,32,12,9.33,few clouds
265,Sioux Lookout,CA,50.1001,-91.917,66.27,45,40,5.75,scattered clouds
266,Diest,BE,50.9833,5.05,64.22,88,58,4.61,broken clouds
267,Ucluelet,CA,48.9329,-125.5528,59.09,93,100,1.99,overcast clouds
268,Pietarsaari,FI,63.65,22.6833,46.89,92,41,10.87,scattered clouds
269,Egvekinot,RU,66.3167,-179.1667,25.66,70,12,2.28,few clouds
270,Aksarka,RU,66.5606,67.7975,29.66,87,24,7.25,few clouds
271,Pochutla,MX,15.7432,-96.4661,87.62,72,62,4.9,broken clouds
272,Tabunok,PH,10.7786,124.0122,76.71,80,93,3.91,overcast clouds
273,San Jose,US,37.3394,-121.895,81.1,49,75,10.36,smoke
274,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.39,94,90,13.8,mist
275,Kargasok,RU,59.0556,80.8572,34.77,92,98,8.48,overcast clouds
276,Tromso,NO,69.6496,18.957,57.85,82,90,4.0,overcast clouds
277,Bulungu,CD,-4.55,18.6,71.42,87,95,1.88,overcast clouds
278,Khasan,RU,42.4308,130.6434,66.18,85,100,9.73,light rain
279,Atar,MR,20.5169,-13.0499,95.49,14,3,3.89,clear sky
280,Grand Gaube,MU,-20.0064,57.6608,69.39,87,51,11.01,light rain
281,Obo,CF,5.3998,26.4869,67.39,96,99,2.13,overcast clouds
282,Saldanha,ZA,-33.0117,17.9442,57.25,86,0,15.9,clear sky
283,Havelock,US,34.8791,-76.9013,78.75,66,1,8.05,clear sky
284,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,90,14.97,fog
285,Hervey Bay,AU,-25.2986,152.8535,70.03,71,83,21.5,broken clouds
286,Auki,SB,-8.7676,160.7034,81.99,76,87,2.35,overcast clouds
287,Cadillac,US,44.2519,-85.4012,63.79,72,90,6.91,overcast clouds
288,Ketchikan,US,55.3422,-131.6461,51.78,82,100,3.85,light rain
289,Petit Goave,HT,18.4314,-72.8669,87.98,76,88,2.71,overcast clouds
290,Riyadh,SA,24.6877,46.7219,82.54,28,89,8.79,overcast clouds
291,Cockburn Town,TC,21.4612,-71.1419,83.5,70,1,8.19,clear sky
292,Coihaique,CL,-45.5752,-72.0662,38.1,84,63,6.46,broken clouds
293,Nishihara,JP,26.1842,127.7558,81.68,92,40,8.05,scattered clouds
294,Paamiut,GL,61.994,-49.6678,34.12,76,8,2.44,clear sky
295,Kabinda,CD,-6.1333,24.4833,69.93,80,77,5.91,broken clouds
296,Eyrarbakki,IS,63.863,-21.1481,42.85,87,100,16.6,overcast clouds
297,Klaksvik,FO,62.2266,-6.589,50.92,85,100,20.13,overcast clouds
298,Yangjiang,CN,21.85,111.9667,77.18,91,12,3.31,light rain
299,Pandharpur,IN,17.6667,75.3333,74.35,87,91,10.36,overcast clouds
300,Vanimo,PG,-2.6741,141.3028,81.03,83,95,3.15,overcast clouds
301,Hasaki,JP,35.7333,140.8333,70.2,62,9,17.76,clear sky
302,Taoudenni,ML,22.6783,-3.9836,94.39,10,6,10.04,clear sky
303,Gaimersheim,DE,48.807,11.368,64.09,89,75,4.61,moderate rain
304,Sungaipenuh,ID,-2.0833,101.3833,64.42,96,100,2.19,overcast clouds
